,Country,EdLevel,YearsCodePro,Age,Gender,Salary
731,Belarus,Less than a Bachelor's Degree,9.0,30.0,Man,30000.0
732,United States of America,Less than a Bachelor's Degree,4.0,30.0,Man,105000.0
733,Sweden,Master's Degree,24.0,50.0,Man,68724.0
735,Sweden,Bachelor's Degree,3.0,30.0,Man,40500.0
736,Croatia,Master's Degree,1.0,20.0,Man,19152.0
741,Germany,Master's Degree,10.0,40.0,Man,77832.0
749,Ukraine,Master's Degree,8.792445560306254,50.0,Man,58728.0
755,Canada,Bachelor's Degree,5.0,30.0,Man,77900.0
757,Poland,Master's Degree,2.0,30.0,Man,27844.0
758,Switzerland,Bachelor's Degree,15.0,40.0,Man,126083.0
759,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelor's Degree,6.0,30.0,Man,51704.0
760,France,Master's Degree,16.0,40.0,Man,50806.0
762,Turkey,Bachelor's Degree,4.0,30.0,Man,38400.0
764,Belgium,Doctoral Degree,12.0,40.0,Man,103776.0
774,Germany,Master's Degree,4.0,30.0,Man,45401.0
775,United States of America,Bachelor's Degree,15.0,40.0,Man,120000.0
776,United States of America,Bachelor's Degree,8.0,30.0,Man,66500.0
777,South Africa,Bachelor's Degree,5.0,40.0,Man,31224.0
784,Finland,Bachelor's Degree,5.0,30.0,Man,49296.0
785,United States of America,Bachelor's Degree,7.0,30.0,Man,125000.0
786,France,Master's Degree,6.0,30.0,Man,46482.0
788,India,Bachelor's Degree,10.0,30.0,Man,29320.0
791,United Kingdom of Great Britain and Northern Ireland,Master's Degree,22.0,40.0,Man,116333.0
793,France,Doctoral Degree,3.0,40.0,Man,54049.0
794,Germany,Doctoral Degree,12.0,30.0,Man,54049.0
796,Italy,Less than a Bachelor's Degree,6.0,30.0,Man,32429.0
797,Italy,Master's Degree,5.0,30.0,Man,27240.0
800,United Kingdom of Great Britain and Northern Ireland,Doctoral Degree,1.0,30.0,Man,71093.0
803,"Iran, Islamic Republic of...",Bachelor's Degree,2.0,20.0,Man,14256.0
804,Italy,Master's Degree,3.0,30.0,Woman,32429.0
808,Italy,Less than a Bachelor's Degree,6.0,30.0,Man,27025.0
809,Canada,Bachelor's Degree,1.0,20.0,Man,49160.0
810,United States of America,Bachelor's Degree,3.0,30.0,Man,64000.0
811,Czech Republic,Master's Degree,9.0,30.0,Man,57156.0
812,Slovenia,Bachelor's Degree,10.0,30.0,Man,39564.0
813,United Kingdom of Great Britain and Northern Ireland,Bachelor's Degree,8.0,40.0,Man,50411.0
814,Germany,Master's Degree,4.0,30.0,Man,54049.0
815,Spain,Master's Degree,8.792445560306254,40.0,Man,51888.0
817,United States of America,Doctoral Degree,7.0,30.0,Man,135000.0
818,Poland,Bachelor's Degree,14.0,30.0,Man,105300.0
820,Nigeria,Less than a Bachelor's Degree,0.5,20.0,Man,13332.0
821,France,Master's Degree,4.0,30.0,Man,46482.0
824,Brazil,Bachelor's Degree,4.0,20.0,Man,17868.0
827,Belgium,Less than a Bachelor's Degree,2.0,30.0,Man,25944.0
828,United Kingdom of Great Britain and Northern Ireland,Master's Degree,2.0,30.0,Man,74970.0
833,Canada,Bachelor's Degree,3.0,30.0,Man,52942.0
837,Austria,Master's Degree,2.0,30.0,Man,40212.0
839,United States of America,Bachelor's Degree,3.0,30.0,Man,85000.0
842,Austria,Bachelor's Degree,2.0,30.0,Man,45401.0
845,India,Bachelor's Degree,1.0,20.0,Man,20943.0
846,United States of America,Bachelor's Degree,15.0,30.0,Man,120000.0
847,Brazil,Less than a Bachelor's Degree,15.0,40.0,Man,41232.0
849,Sweden,Master's Degree,6.0,30.0,Man,53388.0
851,Germany,Bachelor's Degree,2.0,20.0,Man,54049.0
852,Netherlands,Doctoral Degree,24.0,60.0,Man,57720.0
856,Germany,Less than a Bachelor's Degree,7.0,30.0,Man,54480.0
859,France,Master's Degree,6.0,30.0,Man,34584.0
861,Russian Federation,Master's Degree,15.0,40.0,Man,36804.0
863,Germany,Bachelor's Degree,11.0,40.0,Man,51887.0
869,Belarus,Bachelor's Degree,4.0,20.0,Man,32676.0
872,Singapore,Bachelor's Degree,0.5,20.0,Man,34428.0
873,Italy,Less than a Bachelor's Degree,21.0,40.0,Man,81074.0
874,United States of America,Bachelor's Degree,5.0,30.0,Man,115000.0
875,Canada,Bachelor's Degree,5.0,30.0,Man,55211.0
876,Hungary,Master's Degree,3.0,30.0,Man,30216.0
881,Greece,Master's Degree,2.0,40.0,Man,19452.0
889,United States of America,Less than a Bachelor's Degree,8.0,30.0,Man,125000.0
890,United Kingdom of Great Britain and Northern Ireland,Master's Degree,3.0,30.0,Man,84019.0
891,Belgium,Bachelor's Degree,15.0,40.0,Man,60972.0
894,Germany,Master's Degree,5.0,30.0,Man,31128.0
897,Germany,Master's Degree,0.5,20.0,Man,51888.0
900,Czech Republic,Bachelor's Degree,19.0,40.0,Man,51960.0
906,India,Bachelor's Degree,5.0,30.0,Man,16475.0
907,Germany,Bachelor's Degree,2.0,30.0,Man,41040.0
910,Austria,Master's Degree,7.0,30.0,Man,49941.0
911,India,Master's Degree,7.0,30.0,Man,18848.0
912,Germany,Master's Degree,6.0,30.0,Man,84312.0
913,Germany,Master's Degree,7.0,30.0,Man,81074.0
914,Germany,Master's Degree,10.0,40.0,Man,68102.0
915,Kenya,Bachelor's Degree,5.0,30.0,Man,17796.0
918,United States of America,Bachelor's Degree,12.0,40.0,Man,126000.0
919,Turkey,Less than a Bachelor's Degree,10.0,30.0,Man,28320.0
928,Netherlands,Bachelor's Degree,2.0,20.0,Man,35676.0
935,India,Bachelor's Degree,7.0,30.0,Man,21641.0
946,Czech Republic,Less than a Bachelor's Degree,15.0,30.0,Man,41568.0
948,Colombia,Bachelor's Degree,6.0,30.0,Man,33552.0
950,France,Master's Degree,3.0,30.0,Man,81074.0
952,Netherlands,Bachelor's Degree,4.0,20.0,Man,38916.0
955,France,Master's Degree,2.0,30.0,Man,45401.0
958,Russian Federation,Master's Degree,8.0,30.0,Man,45300.0
968,United Kingdom of Great Britain and Northern Ireland,Master's Degree,4.0,30.0,Man,51704.0
970,United States of America,Less than a Bachelor's Degree,4.0,30.0,Man,75000.0
974,India,Bachelor's Degree,4.0,30.0,Man,30716.0
975,Germany,Bachelor's Degree,25.0,50.0,Man,81074.0
976,Uruguay,Doctoral Degree,10.0,30.0,Man,54000.0
980,Finland,Doctoral Degree,19.0,40.0,Man,71340.0
984,India,Doctoral Degree,10.0,30.0,Man,13962.0
988,Belgium,Master's Degree,35.0,60.0,Man,97288.0
989,France,Master's Degree,4.0,30.0,Man,48644.0
992,Netherlands,Master's Degree,3.0,30.0,Man,51888.0
996,India,Master's Degree,6.0,30.0,Man,64224.0
